separation,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,dither_warning_flag,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,var_flag,var_inter_hard_flag,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_intra_index_b,var_intra_prob_b,ks_intra_prob_b,kp_intra_prob_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,nh_gal,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,obsid,region_id,obi,ra_pnt,dec_pnt,gti_obs,gti_end,instrument,grating,datamode,theta,phi,src_cnts_aper90_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b,flux_significance_b,conf_code,dither_warning_flag.1,edge_code,extent_code,multi_chip_code,pileup_warning,sat_src_flag.1,streak_src_flag.1,var_code,flux_aper90_b.1,flux_aper90_lolim_b.1,flux_aper90_hilim_b.1,flux_aper90_h.1,flux_aper90_lolim_h.1,flux_aper90_hilim_h.1,flux_aper90_m.1,flux_aper90_lolim_m.1,flux_aper90_hilim_m.1,flux_aper90_s.1,flux_aper90_lolim_s.1,flux_aper90_hilim_s.1,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,usrid
0.0, 2CXO J110348.9-584814, 11 03 48.95,-58 48 14.76,4.98,2.32,153.8,3.28,                TRUE, TRUE,False,False,False,False,False,False,False,7.954e-15,5.666e-15,1.013e-14,0.0,0.0,1.41e-15,1.064e-15,7.416e-16,1.386e-15,6.897e-15,5.353e-15,8.441e-15,0,0.265,0.658,0.837,  ,         ,         ,91.01,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,440,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,10.301,141.94,50.689,38.017,62.657,3.28,15,False,3,0,0,0.0001206948,False,False,0,7.954e-15,5.666e-15,1.013e-14,0.0,0.0,1.41e-15,1.064e-15,7.416e-16,1.386e-15,6.897e-15,5.353e-15,8.441e-15,0,0.265,0.658,0.837,3.964e-05,0.0007739,0.0007575,0.00113,1
0.0, 2CXO J110350.4-584830, 11 03 50.42,-58 48 30.03,2.97,2.68,179.8,4.23,                TRUE, TRUE,False,False,False,False,False,False,False,4.176e-15,2.398e-15,5.878e-15,1.252e-15,0.0,2.503e-15,4.222e-16,1.809e-16,6.634e-16,3.276e-15,2.434e-15,4.119e-15,0,0.098,0.909,0.9,  ,         ,         ,91.05,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,168,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,10.057,140.8,54.594,42.462,66.726,4.0,15,False,1,0,0,0.0001931117,False,False,0,4.176e-15,2.398e-15,5.878e-15,1.252e-15,0.0,2.503e-15,4.222e-16,1.809e-16,6.634e-16,3.276e-15,2.434e-15,4.119e-15,0,0.098,0.909,0.9,2.64e-05,0.001269,0.001259,0.001481,2
0.0, 2CXO J110351.5-585732, 11 03 51.55,-58 57 32.27,3.84,2.09,145.6,7.29,                TRUE,False,False, TRUE,False,False,False, TRUE,False,6.563e-15,2.834e-15,1.014e-14,0.0,0.0,5.359e-15,1.527e-15,1.056e-15,1.999e-15,3.998e-15,3.419e-15,4.577e-15,0,0.042,0.769,0.899,  ,         ,         ,94.57,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,681,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,11.805,92.77,145.25,121.38,167.72,4.91,7,False,1,18,0,0.0001448338,False,False,1,6.563e-15,2.834e-15,1.014e-14,0.0,0.0,5.359e-15,1.527e-15,1.056e-15,1.999e-15,3.998e-15,3.419e-15,4.577e-15,0,0.042,0.769,0.899,5.641e-06,0.004,0.003992,0.004006,3
0.0, 2CXO J110355.5-584754, 11 03 55.59,-58 47 54.12,2.66,1.62,169.6,6.05,                TRUE,False,False,False,False,False,False,False,False,8.283e-15,6.465e-15,1.01e-14,2.66e-15,6.864e-16,4.634e-15,5.764e-16,3.33e-16,8.069e-16,5.572e-15,4.604e-15,6.541e-15,0,0.136,0.27,0.473,  ,         ,         ,90.58,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,412,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,9.567,145.19,74.982,62.292,86.925,4.97,7,False,1,0,0,0.0001689727,False,False,0,8.283e-15,6.465e-15,1.01e-14,2.66e-15,6.864e-16,4.634e-15,5.764e-16,3.33e-16,8.069e-16,5.572e-15,4.604e-15,6.541e-15,0,0.136,0.27,0.473,1.127e-05,0.001106,0.001095,0.001118,4
0.0, 2CXO J110357.4-584708, 11 03 57.41,-58 47 08.61,3.69,3.1,1.3,4.34,                TRUE, TRUE,False, TRUE,False,False,False,False,False,5.298e-15,3.637e-15,6.879e-15,3.19e-15,1.259e-15,5.036e-15,3.138e-16,1.292e-16,4.984e-16,2.247e-15,1.573e-15,2.921e-15,0,0.099,0.315,0.678,  ,         ,         ,90.19,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,415,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,9.599,149.94,38.142,28.472,47.274,4.34,15,False,3,16,0,0.0001689727,False,False,0,5.298e-15,3.637e-15,6.879e-15,3.19e-15,1.259e-15,5.036e-15,3.138e-16,1.292e-16,4.984e-16,2.247e-15,1.573e-15,2.921e-15,0,0.099,0.315,0.678,2.37e-05,0.001063,0.001047,0.001281,5
0.0, 2CXO J110403.3-584825, 11 04 03.37,-58 48 25.73,3.58,1.83,145.0,3.69,                TRUE,False,False,False,False,False,False, TRUE,False,1.64e-15,7.202e-16,2.561e-15,8.308e-16,0.0,1.708e-15,5.926e-16,3.834e-16,8.018e-16,8.154e-16,4.077e-16,1.203e-15,8,1.0,0.968,0.995,  ,         ,         ,90.44,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,239,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,8.451,143.81,31.292,22.426,39.637,3.69,7,False,0,0,0,9.655585e-05,False,False,28,1.64e-15,7.202e-16,2.561e-15,8.308e-16,0.0,1.708e-15,5.926e-16,3.834e-16,8.018e-16,8.154e-16,4.077e-16,1.203e-15,8,1.0,0.968,0.995,0.0004294,0.0005719,0.0003286,0.004467,6
0.0, 2CXO J110404.7-585237, 11 04 04.70,-58 52 37.53,3.14,1.83,158.8,3.29,                TRUE,False,False,False,False,False,False,False,False,2.366e-15,1.129e-15,3.549e-15,1.111e-15,0.0,2.272e-15,3.697e-16,1.751e-16,5.643e-16,1.131e-15,5.501e-16,1.711e-15,0,0.382,0.743,0.684,  ,         ,         ,92.04,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,233,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,8.176,114.6,27.609,19.228,35.99,3.19,1,False,1,0,0,9.655585e-05,False,False,0,2.366e-15,1.129e-15,3.549e-15,1.111e-15,0.0,2.272e-15,3.697e-16,1.751e-16,5.643e-16,1.131e-15,5.501e-16,1.711e-15,0,0.382,0.743,0.684,2.796e-05,0.0004701,0.0004571,0.0007994,7
0.0, 2CXO J110405.1-585132, 11 04 05.18,-58 51 32.07,3.15,1.95,162.2,3.37,                TRUE, TRUE,False,False,False,False,False,False,False,4.432e-15,2.955e-15,5.839e-15,2.444e-15,5.866e-16,4.204e-15,2.541e-16,9.317e-17,4.15e-16,1.838e-15,1.235e-15,2.413e-15,1,0.543,0.77,0.993,  ,         ,         ,91.59,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,372,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,7.934,122.19,29.666,21.19,37.718,2.84,15,False,0,0,0,0.0001448338,False,False,0,4.432e-15,2.955e-15,5.839e-15,2.444e-15,5.866e-16,4.204e-15,2.541e-16,9.317e-17,4.15e-16,1.838e-15,1.235e-15,2.413e-15,1,0.543,0.77,0.993,0.0001034,0.0006046,0.0005142,0.0007502,8
0.0, 2CXO J110405.7-585811, 11 04 05.76,-58 58 11.06,3.24,2.66,100.0,6.76,                TRUE,False,False, TRUE,False,False,False, TRUE,False,1.323e-14,9.143e-15,1.731e-14,5.358e-15,1.005e-15,9.711e-15,4.134e-16,9.335e-17,7.201e-16,5.844e-15,5.059e-15,6.583e-15,0,0.431,0.947,0.93,  ,         ,         ,94.17,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,450,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,10.797,84.35,150.79,127.63,172.58,4.21,7,False,3,16,0,0.0001206948,False,False,1,1.323e-14,9.143e-15,1.731e-14,5.358e-15,1.005e-15,9.711e-15,4.134e-16,9.335e-17,7.201e-16,5.844e-15,5.059e-15,6.583e-15,0,0.431,0.947,0.93,0.000212,0.005051,0.004839,0.005263,9
0.0, 2CXO J110407.1-584755, 11 04 07.18,-58 47 55.03,2.66,1.39,159.6,4.8,                TRUE,False,False,False,False,False,False,False,False,8.129e-15,6.428e-15,9.83e-15,5.826e-15,4.057e-15,7.595e-15,9.577e-16,6.818e-16,1.234e-15,2.147e-15,1.24e-15,3.053e-15,0,0.419,0.63,0.288,  ,         ,         ,90.07,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,616,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,8.14,148.23,49.049,39.129,58.418,4.8,7,False,0,0,0,0.0001206948,False,False,0,8.129e-15,6.428e-15,9.83e-15,5.826e-15,4.057e-15,7.595e-15,9.577e-16,6.818e-16,1.234e-15,2.147e-15,1.24e-15,3.053e-15,0,0.419,0.63,0.288,4.915e-05,0.0006834,0.0006624,0.001195,10
0.0, 2CXO J110407.8-585047, 11 04 07.81,-58 50 47.08,2.55,1.66,146.5,3.29,                TRUE,False,False,False,False,False,False, TRUE,False,1.72e-15,8.365e-16,2.603e-15,0.0,0.0,1.193e-15,0.0,0.0,1.346e-16,1.201e-15,7.931e-16,1.586e-15,6,0.901,0.81,0.334,  ,         ,         ,91.18,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,373,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,7.554,127.6,21.827,14.414,28.828,2.32,7,False,0,0,0,0.0001206948,False,False,16,1.72e-15,8.365e-16,2.603e-15,0.0,0.0,1.193e-15,0.0,0.0,1.346e-16,1.201e-15,7.931e-16,1.586e-15,6,0.901,0.81,0.334,7.604e-05,0.0004485,0.0004168,0.001537,11
0.0, 2CXO J110411.1-584610, 11 04 11.15,-58 46 10.63,2.02,1.29,177.3,4.67,                TRUE,False,False,False,False,False,False,False,False,2.129e-15,1.142e-15,3.063e-15,0.0,0.0,7.441e-16,6.543e-16,4.187e-16,8.898e-16,2.347e-15,1.751e-15,2.943e-15,1,0.532,0.356,0.683,  ,         ,         ,89.19,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,698,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,8.456,160.59,43.556,33.585,53.002,3.84,7,False,1,0,0,0.0001448338,False,False,0,2.129e-15,1.142e-15,3.063e-15,0.0,0.0,7.441e-16,6.543e-16,4.187e-16,8.898e-16,2.347e-15,1.751e-15,2.943e-15,1,0.532,0.356,0.683,7.289e-05,0.0007309,0.0007019,0.001426,12
0.0, 2CXO J110413.5-584915, 11 04 13.51,-58 49 15.23,1.71,1.24,166.0,3.88,                TRUE,False,False,False,False,False,False,False,False,2.251e-15,1.472e-15,2.987e-15,8.195e-16,7.126e-17,1.568e-15,8.076e-16,5.749e-16,1.027e-15,3.155e-16,8.874e-17,5.423e-16,0,0.397,0.45,0.617,  ,         ,         ,90.31,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,285,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,6.976,140.24,35.254,26.985,43.089,3.88,7,False,0,0,0,0.0001689727,False,False,0,2.251e-15,1.472e-15,2.987e-15,8.195e-16,7.126e-17,1.568e-15,8.076e-16,5.749e-16,1.027e-15,3.155e-16,8.874e-17,5.423e-16,0,0.397,0.45,0.617,2.049e-05,0.0003811,0.0003719,0.0006652,13
0.0, 2CXO J110414.0-584552, 11 04 14.02,-58 45 52.04,2.6,1.52,1.7,4.63,                TRUE, TRUE,False,False,False,False,False,False,False,7.662e-15,6.044e-15,9.279e-15,5.415e-15,3.52e-15,7.311e-15,5.225e-16,2.986e-16,7.358e-16,1.624e-15,1.092e-15,2.156e-15,1,0.65,0.881,0.838,  ,         ,         ,88.94,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,247,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,8.323,163.77,59.65,48.256,70.374,4.63,15,False,1,0,0,0.0001206948,False,False,0,7.662e-15,6.044e-15,9.279e-15,5.415e-15,3.52e-15,7.311e-15,5.225e-16,2.986e-16,7.358e-16,1.624e-15,1.092e-15,2.156e-15,1,0.65,0.881,0.838,6.508e-05,0.0005386,0.0005141,0.001409,14
0.0, 2CXO J110414.2-584840, 11 04 14.30,-58 48 40.47,1.74,1.28,176.4,3.09,            MARGINAL,False,False,False,False,False,False,False,False,1.954e-15,1.049e-15,2.812e-15,2.003e-15,1.052e-15,2.955e-15,1.454e-16,1.897e-17,2.656e-16,         ,         ,         ,0,0.215,0.099,0.012,  ,         ,         ,90.05,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,273,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,7.024,145.04,16.275,10.172,22.378,2.05,7,False,0,0,0,0.0001206948,False,False,0,1.954e-15,1.049e-15,2.812e-15,2.003e-15,1.052e-15,2.955e-15,1.454e-16,1.897e-17,2.656e-16,         ,         ,         ,0,0.215,0.099,0.012,2.409e-05,0.0005195,0.0005008,0.0006951,15
0.0, 2CXO J110414.4-585932, 11 04 14.48,-58 59 32.94,2.85,2.85,0.0,5.18,                TRUE,False,False,False,False,False,False, TRUE,False,5.632e-15,2.414e-15,8.717e-15,0.0,0.0,3.655e-15,3.554e-16,6.347e-17,6.347e-16,2.808e-15,2.22e-15,3.363e-15,  ,         ,         ,         ,  ,         ,         ,94.3,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,461,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,11.066,75.18,73.564,55.173,91.955,4.39,7,False,3,0,0,0.0001448338,False,False,1,5.632e-15,2.414e-15,8.717e-15,0.0,0.0,3.655e-15,3.554e-16,6.347e-17,6.347e-16,2.808e-15,2.22e-15,3.363e-15,  ,         ,         ,         ,         ,         ,         ,         ,16
0.0, 2CXO J110414.5-585159, 11 04 14.54,-58 51 59.10,1.99,1.99,0.0,3.19,            MARGINAL,False,False,False,False,False,False,False,False,8.804e-16,2.935e-16,1.443e-15,0.0,0.0,5.552e-16,3.53e-16,1.849e-16,5.211e-16,8.479e-16,4.818e-16,1.214e-15,1,0.627,0.946,0.78,  ,         ,         ,91.35,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,253,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,6.799,117.38,21.216,14.658,27.773,3.19,3,False,0,0,0,9.655585e-05,False,False,0,8.804e-16,2.935e-16,1.443e-15,0.0,0.0,5.552e-16,3.53e-16,1.849e-16,5.211e-16,8.479e-16,4.818e-16,1.214e-15,1,0.627,0.946,0.78,0.0001,0.0006754,0.0005754,0.0007755,17
0.0, 2CXO J110414.8-585305, 11 04 14.82,-58 53 05.74,0.9,0.78,163.3,12.15,                TRUE,False,False,False,False,False,False,False,False,1.837e-14,1.673e-14,2.001e-14,6.966e-16,0.0,1.432e-15,2.922e-15,2.471e-15,3.374e-15,1.478e-14,1.338e-14,1.609e-14,0,0.188,0.994,0.987,  ,         ,         ,91.77,1.511e-14,1.205e-14,1.721e-14,7.077,5.838,8.686,         ,54.15,34.98,78.99,         ,3.458e-05,1.946e-05,7.032e-05,         ,1.685,1.186e-14,7.001e-15,1.693e-14,0.1713,0.1642,0.1848,         ,1.804,         ,6.86,         ,0.003162,0.001893,0.0144,         ,1.726,1.371e-14,8.413e-15,1.654e-14,0.276,0.2135,0.3659,         ,18.92,6.524,33.5,         ,0.0002703,8.163e-05,0.001111,         ,1.677,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,303,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,7.054,108.42,237.69,218.71,256.66,12.15,5,False,0,0,0,0.0008448638,False,False,0,1.837e-14,1.673e-14,2.001e-14,6.966e-16,0.0,1.432e-15,2.922e-15,2.471e-15,3.374e-15,1.478e-14,1.338e-14,1.609e-14,0,0.188,0.994,0.987,0.0001067,0.001898,0.001836,0.002647,18
0.0, 2CXO J110415.1-584545, 11 04 15.11,-58 45 45.58,1.32,1.07,172.8,8.01,                TRUE, TRUE,False,False,False,False,False,False,False,9.511e-15,7.926e-15,1.1e-14,1.259e-15,5.245e-17,2.413e-15,1.067e-15,7.864e-16,1.334e-15,6.978e-15,5.913e-15,7.976e-15,0,0.471,0.631,0.81,  ,         ,         ,88.85,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,345,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,8.273,164.95,98.72,85.341,111.26,8.01,15,False,1,0,0,0.0003379455,False,False,0,9.511e-15,7.926e-15,1.1e-14,1.259e-15,5.245e-17,2.413e-15,1.067e-15,7.864e-16,1.334e-15,6.978e-15,5.913e-15,7.976e-15,0,0.471,0.631,0.81,0.0001179,0.001062,0.00101,0.002084,19
