_rs_gaia,_q,_r_gaia,DR3Name_gaia,RA_ICRS_gaia,DE_ICRS_gaia,SolID_gaia,Source_gaia,RandomI_gaia,e_RA_ICRS_gaia,e_DE_ICRS_gaia,Plx_gaia,e_Plx_gaia,RPlx_gaia,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,RADEcor_gaia,RAPlxcor_gaia,RApmRAcor_gaia,RApmDEcor_gaia,DEPlxcor_gaia,DEpmRAcor_gaia,DEpmDEcor_gaia,PlxpmRAcor_gaia,PlxpmDEcor_gaia,pmRApmDEcor_gaia,NAL_gaia,NAC_gaia,NgAL_gaia,NbAL_gaia,gofAL_gaia,chi2AL_gaia,epsi_gaia,sepsi_gaia,Solved_gaia,APF_gaia,nueff_gaia,pscol_gaia,e_pscol_gaia,RApscolCorr_gaia,DEpscolCorr_gaia,PlxpscolCorr_gaia,pmRApscolCorr_gaia,pmDEpscolCorr_gaia,MatchObsA_gaia,Nper_gaia,amax_gaia,MatchObs_gaia,NewMatchObs_gaia,MatchObsrm_gaia,IPDgofha_gaia,IPDgofhp_gaia,IPDfmp_gaia,IPDfow_gaia,RUWE_gaia,SDSk1_gaia,SDSk2_gaia,SDSk3_gaia,SDSk4_gaia,SDMk1_gaia,SDMk2_gaia,SDMk3_gaia,SDMk4_gaia,Dup_gaia,o_Gmag_gaia,FG_gaia,e_FG_gaia,RFG_gaia,Gmag_gaia,e_Gmag_gaia,o_BPmag_gaia,FBP_gaia,e_FBP_gaia,RFBP_gaia,BPmag_gaia,e_BPmag_gaia,o_RPmag_gaia,FRP_gaia,e_FRP_gaia,RFRP_gaia,RPmag_gaia,e_RPmag_gaia,E_BP_RP__gaia,NBPcont_gaia,NBPblend_gaia,NRPcont_gaia,NRPblend_gaia,Mode_gaia,BP-RP_gaia,BP-G_gaia,G-RP_gaia,RV_gaia,e_RV_gaia,n_RV_gaia,o_RV_gaia,o_RVd_gaia,RVNper_gaia,RVS_N_gaia,RVgof_gaia,RVchi2_gaia,RVTdur_gaia,RVamp_gaia,RVtempTeff_gaia,RVtemplogg_gaia,RVtemp_Fe_H__gaia,Vatmparam_gaia,Vbroad_gaia,e_Vbroad_gaia,o_Vbroad_gaia,GRVSmag_gaia,e_GRVSmag_gaia,o_GRVSmag_gaia,RVSS_N_gaia,VarFlag_gaia,GLON_gaia,GLAT_gaia,ELON_gaia,ELAT_gaia,QSO_gaia,Gal_gaia,NSS_gaia,XPcont_gaia,XPsamp_gaia,RVS_gaia,EpochPh_gaia,EpochRV_gaia,MCMCGSP_gaia,MCMCMSC_gaia,And_gaia,PQSO_gaia,PGal_gaia,PSS_gaia,Teff_gaia,b_Teff_gaia,B_Teff_gaia,logg_gaia,b_logg_gaia,B_logg_gaia,__Fe_H__gaia,b__Fe_H__gaia,B__Fe_H__gaia,Dist_gaia,b_Dist_gaia,B_Dist_gaia,A0_gaia,b_A0_gaia,B_A0_gaia,AG_gaia,b_AG_gaia,B_AG_gaia,E_BP-RP__gaia,b_E_BP-RP__gaia,B_E_BP-RP__gaia,Lib_gaia,HIP_gaia,dHIP_gaia,nHIP_gaia,f_HIP_gaia,PS1coid_gaia,PS1_gaia,dPS1_gaia,nPS1_gaia,mPS1_gaia,f_PS1_gaia,SDSS13coid_gaia,SDSS13_gaia,dSDSS13_gaia,nSDSS13_gaia,mSDSS13_gaia,f_SDSS13_gaia,SKYM2_gaia,dSKYM2_gaia,nSKYM2_gaia,mSKYM2_gaia,f_SKYM2_gaia,TYC2_gaia,dTYC2_gaia,f_TYC2_gaia,TYC2moid_gaia,nTYC2_gaia,URAT1_gaia,dURAT1_gaia,f_URAT1_gaia,URAT1oid_gaia,nURAT1_gaia,mURAT1_gaia,AllWISE_gaia,dAllWISE_gaia,f_AllWISE_gaia,AllWISEoid_gaia,nAllWISE_gaia,mAllWISE_gaia,APASS9coid_gaia,APASS9_gaia,dAPASS9_gaia,nAPASS9_gaia,mAPASS9_gaia,f_APASS9_gaia,GSC23_gaia,dGSC23_gaia,f_GSC23_gaia,GSC23coid_gaia,nGSC23_gaia,mGSC23_gaia,RAVE5_gaia,dRAVE5_gaia,f_RAVE5_gaia,RAVE5coid_gaia,nRAVE5_gaia,_2MASS_gaia,d2MASS_gaia,f_2MASS_gaia,_2MASScoid_gaia,n2MASS_gaia,m2MASS_gaia,RAVE6_gaia,dRAVE6_gaia,f_RAVE6_gaia,RAVE6oid_gaia,nRAVE6_gaia,RAJ2000_gaia,DEJ2000_gaia,e_RAJ2000_gaia,e_DEJ2000_gaia,RADEcorJ2000_gaia
"[0.26271032024038515, 4.9610247103552245, 7.385398989032092, 7.912874895123227]",1.0,0.26271032024038515,Gaia DR3 5329110144320086400,130.6218016173,-48.11826900674,1.6361480689213768e+18,5329110144320086400,309017148.0,0.0377,0.0427,0.6768,0.0443,15.2765,7.818,-6.562,0.052,4.251,0.055,-0.0216,-0.0852,-0.085,0.1742,-0.1027,0.187,-0.2905,0.0636,-0.0351,-0.096,371.0,0.0,369.0,2.0,11.7037,810.3,0.372,14.36,31.0,0.0,1.439,,,,,,,,42.0,26.0,0.080449,46.0,19.0,0.0,0.0179,137.0,0.0,0.0,1.463,0.159,0.103,0.174,0.098,-51.319,-70.977,6.401,-29.678,0.0,358.0,7802.3203,5.0844,1534.6,15.956807,0.002845,39.0,3161.2,11.398,277.34,16.588928,0.004807,37.0,6758.9,13.552,498.74,15.173203,0.004362,1.271,0,3,0,2,0.0,1.415725,0.632121,0.783604,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.63907934297,-3.59665804617,158.78122523937,-62.20843177144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999993,5716.3,5688.9,5743.4,4.4615,4.441,4.4815,-0.4719,-0.5046,-0.4395,884.8193,856.0472,914.5655,1.4293,1.4107,1.4463,1.1422,1.1265,1.1564,0.6223,0.6136,0.63,MARCS,,,,,,,,,,,,,,,,,441247046,0.186984,1,0,8,,,,,,,,,,,,J084229.25-480705.7,0.161951,8,108252977,1,0,,,,,,,S66G054840,0.111873,8,178915131,1,0,,,,,,08422924-4807058,0.025229,8,101991192,1,0,,,,,,130.62184530016,-48.11828789791,0.837319,0.899082,-0.1107
"[4.431163247427521, 7.627465221825994, 8.175669697029662, 8.373526597192631, 8.479721658024776]",2.0,4.431163247427521,Gaia DR3 5329110041240848384,130.60615024021,-48.11894513522,1.6361480689213768e+18,5329110041240848384,1426950693.0,0.8761,1.2709,3.112,1.1456,2.7165,3.226,-2.566,1.905,1.955,2.014,0.1115,0.2532,0.3075,0.0629,-0.0835,0.204,0.5591,0.0107,-0.2247,0.1671,123.0,0.0,123.0,0.0,-1.7218,99.22,0.0,0.0,95.0,0.0,,1.4789,0.3269,-0.281,-0.054,-0.185,0.044,0.135,14.0,9.0,3.036336,18.0,5.0,0.0,0.0439,26.6,0.0,0.0,0.887,0.0573,0.227,0.12,0.228,-97.28,-83.702,-52.752,-15.058,0.0,130.0,90.01803,1.0624,84.733,20.801542,0.013106,13.0,34.776,10.217,3.4037,21.485332,0.318996,16.0,80.078,5.577,14.359,19.989117,0.07571,1.276,0,0,0,0,0.0,1.496216,0.68379,0.812426,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.63318371978,-3.60531896673,158.76339332204,-62.21479735687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.60616732452,-48.11895382393,30.22877,31.524305,0.1622
[],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.3413846697256281, 2.8159645785706644, 3.7798407919780286, 6.8597874140928745, 6.864674231352165, 8.01867411466752, 9.096736285951486, 9.560043870216973]",4.0,0.3413846697256281,Gaia DR3 5329110041240868992,130.61476035038,-48.12698159655,1.6361480689213768e+18,5329110041240868992,286325793.0,0.0446,0.0499,1.3926,0.0534,26.0655,5.526,-4.358,0.057,3.398,0.069,-0.0418,-0.1768,-0.0259,0.1654,-0.0325,0.1486,-0.218,0.1351,-0.0983,-0.112,346.0,0.0,346.0,0.0,0.6457,375.0,0.0,0.0,31.0,0.0,1.317,,,,,,,,39.0,24.0,0.097905,42.0,18.0,1.0,0.0131,142.0,0.0,0.0,1.024,0.192,0.0903,0.22,0.0377,-60.2,-81.078,12.031,-9.08,0.0,342.0,3049.6631,4.4106,691.43,16.976738,0.003171,36.0,732.55,9.9175,73.864,18.176456,0.014962,36.0,3484.0,15.949,218.45,15.892709,0.006244,1.383,0,14,0,14,0.0,2.283748,1.199718,1.084029,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.64307543779,-3.60571875427,158.7832230856,-62.21828746923,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.997667,3654.1,3607.1,3680.3,4.3848,4.3104,4.4768,-0.2857,-0.3412,-0.2593,546.2098,449.5802,608.4435,0.6993,0.6503,0.7298,0.4727,0.4391,0.4937,0.2791,0.2592,0.2912,PHOENIX,,,,,,,,,,,,,,,,,441247057,0.084516,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S66G054473,0.571486,8,178841695,1,0,,,,,,08422754-4807371,0.058717,8,101953873,1,0,,,,,,130.61478936511,-48.126996697,0.919637,1.114364,-0.1252
"[0.33278583198846545, 1.6481016044775973, 4.479612040467543]",5.0,0.33278583198846545,Gaia DR3 5329121929710325760,130.62282514208,-48.09468291789,1.6361480689213768e+18,5329121929710325760,583242916.0,0.045,0.0493,1.4436,0.0529,27.2813,5.624,-4.448,0.056,3.441,0.068,0.0032,-0.1984,-0.1391,0.1213,0.0606,0.1184,-0.0589,0.0745,-0.0676,0.0005,377.0,0.0,377.0,0.0,2.3376,494.2,0.257,2.845,95.0,0.0,,1.337,0.0156,-0.268,-0.044,-0.087,0.073,0.033,42.0,26.0,0.094818,46.0,19.0,0.0,0.23,107.0,0.0,23.0,1.086,0.257,0.123,0.129,0.069,-57.005,-80.861,14.639,-17.073,0.0,362.0,2852.29111,80.231,35.551,17.049383,0.030664,0.0,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.6208520409,-3.58163013319,158.75436464554,-62.1884363183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08422940-4805406,0.824702,12,102093221,1,1,,,,,,130.62285474207,-48.09469821116,0.905574,1.098126,-0.0108
"[0.3336215456459771, 2.2675557343700836, 2.9748002446816177]",6.0,0.3336215456459771,Gaia DR3 5329121929710324480,130.62205342299,-48.09449822973,1.6361480689213768e+18,5329121929710324480,49776873.0,0.025,0.0301,1.3967,0.0303,46.1207,5.531,-4.424,0.033,3.319,0.039,0.0073,-0.0972,-0.1,0.1592,-0.0799,0.1561,-0.2825,0.0833,-0.0164,-0.0222,401.0,0.0,399.0,2.0,-1.5293,365.6,0.0,0.0,31.0,0.0,1.348,,,,,,,,45.0,26.0,0.054945,49.0,21.0,0.0,0.0383,90.0,0.0,0.0,0.945,0.211,0.157,0.145,0.0536,-57.166,-70.876,12.446,-29.803,0.0,396.0,7154.33507,18.445,387.87,16.050943,0.003928,41.0,2200.5,44.364,49.601,16.982224,0.022066,42.0,8530.4,151.36,56.36,14.920467,0.019632,1.5,0,27,0,29,0.0,2.061756,0.93128,1.130476,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.62038877457,-3.5819233962,158.75322599762,-62.18856880327,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999527,4739.6,4703.8,4750.9,4.2417,4.2196,4.2692,-0.9977,-1.0233,-0.9632,617.3137,588.7731,629.3826,2.1636,2.1239,2.174,1.5998,1.5671,1.6082,0.8772,0.8582,0.882,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S66G133569,0.301626,8,179114354,1,0,,,,,,08422940-4805406,1.147521,12,102093221,1,1,,,,,,130.62208286261,-48.0945129819,0.525758,0.631407,-0.0366
"[0.15061723383625414, 5.329140502900168, 5.801027098948116, 9.96341684284571]",7.0,0.15061723383625414,Gaia DR3 5329110178679846656,130.64578983386,-48.10412733268,1.6361480689213768e+18,5329110178679846656,976667524.0,0.0557,0.0629,0.6099,0.0671,9.0943,3.574,-2.447,0.072,2.605,0.078,-0.0701,-0.1203,-0.0658,0.0929,0.0223,0.0982,-0.2222,0.119,-0.0157,-0.0809,386.0,0.0,386.0,0.0,-0.6058,380.8,0.0,0.0,31.0,0.0,1.386,,,,,,,,43.0,28.0,0.111218,47.0,20.0,0.0,0.0205,121.0,0.0,0.0,0.977,0.252,0.077,0.0841,0.1,-65.224,-85.567,21.239,-9.013,0.0,391.0,1809.13059,6.5496,276.22,17.543692,0.0048,41.0,595.53,11.904,50.027,18.401283,0.021882,40.0,1803.7,21.413,84.23,16.607515,0.013433,1.326,0,41,0,40,0.0,1.793768,0.857592,0.936176,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,266.63775957396,-3.57533237754,158.79294267908,-62.18777624656,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999994,5137.0,5072.1,5208.8,4.7298,4.7018,4.7537,-1.3793,-1.5238,-1.1685,782.4047,755.3231,809.9105,2.0,1.9512,2.0569,1.523,1.483,1.5695,0.8384,0.8148,0.8654,MARCS,,,,,,,,,,,,,,,,,441246502,0.115238,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S66G055605,0.205106,8,179033633,1,0,,,,,,08423500-4806150,0.138006,8,102052019,1,0,,,,,,130.64580611736,-48.10413891192,1.149675,1.265416,-0.0891
"[0.17639268986740103, 0.8795680613064191, 4.469951623048607, 4.747075985104732, 5.623899782880403, 8.615116932058172]",8.0,0.17639268986740103,Gaia DR3 5329110075591309952,130.64080647644,-48.12858146569,1.6361480689213768e+18,5329110075591309952,1544841370.0,0.0682,0.073,1.2382,0.0756,16.3692,5.11,-3.978,0.088,3.207,0.091,-0.2455,0.1082,-0.1817,0.2617,-0.0371,0.269,-0.3715,0.1491,0.1351,-0.1726,349.0,0.0,314.0,35.0,9.7852,731.5,0.549,11.82,95.0,0.0,,1.3162,0.0216,-0.173,0.059,0.108,0.167,0.082,36.0,23.0,0.140577,44.0,17.0,0.0,0.0495,105.0,18.0,0.0,1.418,0.142,0.0503,0.224,0.172,-43.66,56.461,4.711,-19.661,0.0,336.0,3408.44785,12.171,280.05,16.855976,0.004756,39.0,1898.7,45.217,41.992,17.142385,0.026006,40.0,5711.8,61.748,92.502,15.35597,0.012331,2.233,0,39,0,40,0.0,1.786415,0.286409,1.500006,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.65504150603,-3.59298387917,158.81613724535,-62.20995829958,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6e-05,0.999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441247020,0.268851,1,1,12,,,,,,,,,,,,J084233.81-480742.8,0.233919,12,108203303,1,1,,,,,,,S66G054295,0.362371,12,178829394,1,1,,,,,,08423381-4807427,0.202619,12,101947177,1,1,,,,,,130.6408329625,-48.12859572068,1.425017,1.479585,-0.1936
"[0.2502137966768813, 6.820133943890064, 7.215605454855642, 8.349455681309266]",9.0,0.2502137966768813,Gaia DR3 5329121787965559808,130.58946391891,-48.12001241893,1.6361480689213768e+18,5329121787965559808,1368180233.0,0.5724,0.777,1.826,0.7253,2.5175,9.247,-3.847,0.732,8.409,0.952,-0.0343,-0.1088,-0.0578,0.0366,-0.0639,0.0679,-0.237,0.0109,0.0873,-0.0865,325.0,0.0,322.0,3.0,52.3681,4565.0,7.306,141.9,95.0,0.0,,1.3604,0.1921,-0.264,-0.03,-0.053,0.103,0.038,37.0,24.0,1.342843,41.0,17.0,2.0,0.301,75.2,0.0,0.0,3.69,0.163,0.241,0.171,0.0466,-87.611,-87.236,21.606,-19.307,0.0,331.0,474.73733,5.5272,85.892,18.996233,0.012938,31.0,58.772,9.1682,6.4105,20.915607,0.169392,35.0,869.83,6.7077,129.68,17.399311,0.009186,1.956,0,2,0,1,0.0,3.516296,1.919374,1.596922,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.6271741735,-3.61476644669,158.74479012452,-62.22187123957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441247167,0.151723,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08422148-4807121,0.060098,8,101983711,1,0,,,,,,130.58948953058,-48.12004979242,11.754026,15.433326,-0.0903
"[0.1419894139800817, 3.672877345116429, 6.800508866454705, 7.285066758070522, 7.634763495423943, 8.551589276950315]",10.0,0.1419894139800817,Gaia DR3 5329121959764294912,130.60203783711,-48.09600818755,1.6361480689213768e+18,5329121959764294912,1234120794.0,0.0934,0.099,2.8691,0.1071,26.795,16.812,-14.399,0.11,8.678,0.129,-0.0182,-0.116,0.0061,0.0799,-0.1113,0.1057,-0.2173,0.054,-0.0244,-0.0611,353.0,0.0,352.0,1.0,2.7979,497.4,0.607,4.567,95.0,0.0,,1.2422,0.031,-0.249,0.043,-0.085,0.044,0.096,40.0,25.0,0.180755,43.0,19.0,2.0,0.0088,29.0,0.0,0.0,1.107,0.227,0.0886,0.104,0.0278,-46.443,-74.374,6.712,-21.483,0.0,347.0,1209.59543,1.8694,647.04,17.980766,0.003226,35.0,205.79,9.2135,22.336,19.554989,0.04869,36.0,1645.8,13.935,118.1,16.706972,0.00994,1.531,0,1,0,1,0.0,2.848017,1.574223,1.273794,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.61335588257,-3.59340047619,158.73118525997,-62.19724482764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999591,3299.7,3288.0,3310.3,4.4787,4.4429,4.52,-0.4003,-0.4644,-0.3513,342.5792,336.104,361.0849,1.1304,1.0892,1.1739,0.7104,0.6843,0.7383,0.4734,0.4573,0.4907,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08422451-4805458,0.062421,8,102087050,1,0,,,,,,130.60213365815,-48.09604675678,1.766012,2.080591,-0.0696
"[0.17249945889045698, 2.4707025665422764, 5.406932467432418, 7.7421460240591795, 8.153127216169707, 8.520455811704911, 9.433289893434047, 9.859280993307738]",11.0,0.17249945889045698,Gaia DR3 5329121959764295296,130.6046037565,-48.09435733786,1.6361480689213768e+18,5329121959764295296,1279087237.0,1.0906,1.2238,,,,,,,,,0.1456,,,,,,,,,,403.0,403.0,367.0,36.0,977.4112,5804000.0,14.742,269800.0,3.0,0.0,,,,,,,,,45.0,26.0,2.298318,49.0,21.0,0.0,0.169,153.0,27.0,0.0,,,,,,,,,,0.0,330.0,291198.87676,478.43,608.65,12.026893,0.003282,48.0,153290.0,334.98,457.6,12.374782,0.003663,47.0,206560.0,333.9,618.62,11.460295,0.004167,1.236,0,0,0,1,0.0,0.914487,0.347889,0.566598,15.19,4.51,1,16,6,14,27.86,9.444,0.0,858.62,32.54,5250.0,1.0,-1.0,111,38.8809,37.8405,7,11.234878,0.035985,9,,NOT_AVAILABLE,266.6131049332,-3.59103413576,158.7322772591,-62.19492042493,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J084225.10-480539.7,0.090631,16,108368816,1,0,10782799,40281873,0.231728,1,1,16,,,,,,,,,,,,08422512-4805398,0.30102,16,102094162,1,0,,,,,,130.6046037565,-48.09435733786,1.090558,1.223848,0.1456
"[0.16895186218331207, 6.518638325447116]",12.0,0.16895186218331207,Gaia DR3 5329110487917499136,130.65272704351,-48.1022740174,1.6361480689213768e+18,5329110487917499136,541497144.0,0.0259,0.0291,1.4133,0.0308,45.8773,5.398,-4.267,0.034,3.305,0.037,0.0549,-0.0689,-0.1057,0.1732,0.0379,0.1766,-0.1802,0.1485,-0.1108,0.0512,372.0,0.0,369.0,3.0,0.558,392.1,0.04,0.1713,31.0,0.0,1.356,,,,,,,,42.0,25.0,0.052027,47.0,21.0,0.0,0.0373,27.1,0.0,0.0,1.02,0.163,0.164,0.127,0.0538,-56.39,-63.5,21.86,-17.344,0.0,367.0,8019.22529,27.631,290.23,15.927036,0.004646,42.0,2421.8,35.521,68.179,16.878202,0.016167,40.0,8300.2,74.56,111.32,14.950168,0.01046,1.337,0,1,0,1,0.0,1.928035,0.951166,0.976869,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.63914723061,-3.57053887118,158.79899358274,-62.18366233617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.998258,5883.1,5857.1,5908.7,4.3687,4.3537,4.383,-0.5172,-0.5602,-0.4859,643.8214,630.4019,658.2345,2.8754,2.8595,2.8906,2.2061,2.1925,2.2193,1.2165,1.2082,1.2245,MARCS,,,,,,,,,,,,,,,,,441246391,0.120344,1,0,8,,,,,,,,,,,,J084236.65-480608.1,0.041756,8,108330300,1,0,,,,,,,S66G055723,0.221027,8,179049145,1,0,,,,,,08423666-4806082,0.004687,8,102060059,1,0,,,,,,130.65275544485,-48.10228870737,0.552922,0.599113,0.034
"[0.06102136837665468, 2.6908111029741195, 6.253970720029659, 7.212488225462787, 7.333659375049765, 7.795012424808298, 8.471872313988142, 9.021768833275056, 9.43425867612906, 9.562534522869518]",13.0,0.06102136837665468,Gaia DR3 5329121856685036288,130.58475476966,-48.10272501824,1.6361480689213768e+18,5329121856685036288,438332685.0,0.0927,0.1049,1.2196,0.1093,11.1589,5.206,-4.512,0.119,2.598,0.134,-0.1227,0.1342,-0.1309,0.1465,-0.1482,0.1749,-0.2207,0.0402,0.0275,-0.1304,322.0,0.0,322.0,0.0,3.3285,596.1,0.726,8.153,95.0,0.0,,1.1555,0.0318,-0.196,0.059,0.011,0.084,0.108,36.0,23.0,0.193437,38.0,17.0,3.0,0.0296,108.0,0.0,0.0,1.134,0.233,0.105,0.272,0.216,-34.66,86.195,3.297,-23.186,0.0,335.0,1484.22255,2.4967,594.48,17.75862,0.003306,31.0,210.0,7.2945,28.789,19.532999,0.037817,29.0,2061.6,13.555,152.09,16.462364,0.008077,1.531,0,1,0,1,0.0,3.070635,1.77438,1.296255,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,266.61156691136,-3.60663503565,158.71859070546,-62.20923839647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999712,3427.2,3418.1,3438.3,4.2215,4.2006,4.2401,0.1233,0.1051,0.1433,582.2021,574.224,592.4571,1.4603,1.4279,1.497,0.9089,0.8886,0.9322,0.6265,0.6135,0.6409,MARCS,,,,,,,,,,,,,,,,,441247150,0.076606,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08422034-4806098,0.034795,8,102058097,1,0,,,,,,130.58478479593,-48.10273656641,1.924736,2.166888,-0.1436
"[0.11406335433103679, 9.745533921854868]",14.0,0.11406335433103679,Gaia DR3 5329110487917509888,130.65801270355,-48.10685552763,1.6361480689213768e+18,5329110487917509888,90215268.0,0.0236,0.0262,1.4741,0.0275,53.6084,5.647,-4.56,0.03,3.331,0.031,-0.016,-0.1868,-0.1768,0.1705,0.0642,0.1707,-0.3116,0.1805,-0.1245,-0.0423,397.0,0.0,396.0,1.0,31.2342,2077.0,0.292,57.86,31.0,0.0,1.471,,,,,,,,45.0,27.0,0.045607,48.0,22.0,0.0,0.00132,30.0,0.0,0.0,2.303,0.16,0.1,0.115,0.0328,-63.803,-61.458,13.553,-19.099,0.0,350.0,65623.62603,85.409,768.35,13.644716,0.003097,43.0,29248.0,124.81,234.34,14.17329,0.005409,42.0,52360.0,169.3,309.28,12.950399,0.005158,1.244,1,2,0,0,0.0,1.222891,0.528574,0.694317,11.15,6.04,2,21,11,18,9.749,,,915.346,,5500.0,1.0,-0.5,111,,,,12.632433,0.046703,10,,NOT_AVAILABLE,266.64494185768,-3.57057047106,158.81073686824,-62.18551201079,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999958,5629.8,5585.8,5678.6,4.005,3.972,4.042,-0.3335,-0.3724,-0.2985,646.0701,625.1002,666.2351,0.8853,0.8634,0.9118,0.7138,0.6953,0.7361,0.3842,0.3744,0.3961,PHOENIX,,,,,,,,,,,,,,,,,441246432,0.238595,1,0,72,,,,,,,,,,,,J084237.92-480624.7,0.032768,8,108308131,1,0,10776883,40281592,0.220335,1,0,8,S66G002753,0.050325,8,179010380,1,0,,,,,,08423792-4806247,0.024983,8,102040428,1,0,,,,,,130.65804305214,-48.1068703303,0.479596,0.51208,-0.0581
"[0.13647247795425088, 3.070041420976036, 6.872585468393525, 9.789499211420152]",15.0,0.13647247795425088,Gaia DR3 5329110075600640512,130.62994623959,-48.139907194,1.6361480689213768e+18,5329110075600640512,170190815.0,0.0313,0.0362,1.4356,0.0371,38.7453,5.465,-4.337,0.043,3.324,0.046,-0.1152,-0.0256,-0.0552,0.136,-0.0638,0.1431,-0.2663,0.114,-0.0412,-0.1669,368.0,0.0,368.0,0.0,1.1858,412.6,0.09,0.6017,31.0,0.0,1.484,,,,,,,,41.0,26.0,0.067964,45.0,19.0,0.0,0.0615,55.2,0.0,0.0,1.043,0.207,0.0808,0.136,0.0862,-60.238,87.38,6.993,-11.297,0.0,375.0,5001.88881,41.583,120.29,16.439531,0.009437,38.0,2331.7,78.148,29.838,16.919346,0.036495,38.0,4285.1,83.683,51.206,15.66799,0.021537,1.323,2,1,0,1,0.0,1.251356,0.479815,0.771542,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.65953319803,-3.60566101041,158.81671348823,-62.22340200782,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1e-06,0.999987,4234.2,4228.9,4239.9,4.4864,4.476,4.4945,-0.1862,-0.2009,-0.1716,829.5518,818.9967,841.9815,0.0011,0.0003,0.0036,0.0008,0.0002,0.0027,0.0005,1e-04,0.0015,PHOENIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J084231.19-480823.5,0.096201,8,108148599,1,0,,,,,,,S66G053821,0.694386,8,178734882,1,0,,,,,,08423120-4808237,0.066943,8,101898073,1,0,,,,,,130.62997512664,-48.13992196952,0.685007,0.746774,-0.1773
