separation,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,dither_warning_flag,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,var_flag,var_inter_hard_flag,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_intra_index_b,var_intra_prob_b,ks_intra_prob_b,kp_intra_prob_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,nh_gal,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,obsid,region_id,obi,ra_pnt,dec_pnt,gti_obs,gti_end,instrument,grating,datamode,theta,phi,src_cnts_aper90_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b,flux_significance_b,conf_code,dither_warning_flag.1,edge_code,extent_code,multi_chip_code,pileup_warning,sat_src_flag.1,streak_src_flag.1,var_code,flux_aper90_b.1,flux_aper90_lolim_b.1,flux_aper90_hilim_b.1,flux_aper90_h.1,flux_aper90_lolim_h.1,flux_aper90_hilim_h.1,flux_aper90_m.1,flux_aper90_lolim_m.1,flux_aper90_hilim_m.1,flux_aper90_s.1,flux_aper90_lolim_s.1,flux_aper90_hilim_s.1,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,usrid
0.03, 2CXO J111155.3-603652, 11 11 55.39,-60 36 52.32,0.81,0.72,98.6,6.93,                TRUE,False,False,False,False,False,False,False,False,6.642e-15,5.663e-15,7.62e-15,2.185e-15,1.035e-15,3.335e-15,1.775e-15,1.296e-15,2.254e-15,2.983e-15,2.431e-15,3.504e-15,0,0.446,0.772,0.818,  ,         ,         ,145.4,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,71,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,2.786,49.47,74.081,63.599,84.564,6.93,256,False,0,0,0,0.002602337,False,False,0,6.642e-15,5.663e-15,7.62e-15,2.185e-15,1.035e-15,3.335e-15,1.775e-15,1.296e-15,2.254e-15,2.983e-15,2.431e-15,3.504e-15,0,0.446,0.772,0.818,0.0001295,0.001336,0.001207,0.001466,1
0.03, 2CXO J111153.8-603740, 11 11 53.89,-60 37 40.01,0.86,0.77,111.0,3.03,                TRUE,False,False,False,False,False,False,False,False,7.228e-16,4.176e-16,1.028e-15,0.0,0.0,5.35e-16,2.939e-16,8.398e-17,4.934e-16,6.31e-16,3.944e-16,8.676e-16,0,0.414,0.417,0.485,  ,         ,         ,145.3,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,66,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,1.995,44.63,13.459,8.8878,18.029,3.03,256,False,0,0,0,0.0005712446,False,False,0,7.228e-16,4.176e-16,1.028e-15,0.0,0.0,5.35e-16,2.939e-16,8.398e-17,4.934e-16,6.31e-16,3.944e-16,8.676e-16,0,0.414,0.417,0.485,1.715e-05,0.0003191,0.0003137,0.0004382,2
0.01, 2CXO J111153.3-603620, 11 11 53.38,-60 36 20.23,0.81,0.74,99.3,5.87,                TRUE,False,False,False,False,False,False, TRUE,False,5.069e-15,4.185e-15,5.953e-15,1.741e-15,8.249e-16,2.612e-15,1.592e-15,1.148e-15,2.035e-15,1.833e-15,1.413e-15,2.253e-15,0,0.398,0.57,0.544,  ,         ,         ,145.6,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,76,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,3.326,45.04,52.916,44.115,61.716,5.87,256,False,0,0,0,0.001650262,False,False,8,5.069e-15,4.185e-15,5.953e-15,1.741e-15,8.249e-16,2.612e-15,1.592e-15,1.148e-15,2.035e-15,1.833e-15,1.413e-15,2.253e-15,0,0.398,0.57,0.544,8.909e-05,0.001018,0.0009609,0.001902,3
0.01, 2CXO J111149.6-603751, 11 11 49.67,-60 37 51.96,0.76,0.73,85.3,4.54,                TRUE,False,False,False,False,False,False,False,False,1.907e-15,1.449e-15,2.364e-15,0.0,0.0,5.107e-16,1.06e-15,7.002e-16,1.4e-15,9.876e-16,6.811e-16,1.277e-15,1,0.587,0.663,0.908,  ,         ,         ,145.3,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,65,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,1.905,28.52,28.471,21.815,35.126,4.54,263,False,0,0,0,0.001269433,False,False,0,1.907e-15,1.449e-15,2.364e-15,0.0,0.0,5.107e-16,1.06e-15,7.002e-16,1.4e-15,9.876e-16,6.811e-16,1.277e-15,1,0.587,0.663,0.908,6.698e-05,0.0005983,0.0005705,0.001213,4
0.03, 2CXO J111200.6-603716, 11 12 00.63,-60 37 16.58,0.87,0.77,103.9,4.06,                TRUE,False,False,False,False,False,False,False,False,1.691e-15,1.254e-15,2.127e-15,0.0,0.0,5.692e-16,6.235e-16,3.48e-16,8.989e-16,1.321e-15,9.588e-16,1.662e-15,2,0.688,0.856,0.451,  ,         ,         ,145.2,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,68,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,2.482,64.69,27.629,21.085,34.172,4.06,256,False,0,0,0,0.001396376,False,False,0,1.691e-15,1.254e-15,2.127e-15,0.0,0.0,5.692e-16,6.235e-16,3.48e-16,8.989e-16,1.321e-15,9.588e-16,1.662e-15,2,0.688,0.856,0.451,0.000121,0.0005184,0.000437,0.00141,5
0.02, 2CXO J111145.4-603709, 11 11 45.44,-60 37 09.22,0.95,0.86,93.8,3.06,                TRUE,False,False,False,False,False,False,False,False,8.781e-16,4.989e-16,1.257e-15,0.0,0.0,6.337e-16,0.0,0.0,1.498e-16,8.642e-16,5.864e-16,1.142e-15,1,0.578,0.344,0.568,  ,         ,         ,145.6,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,258,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,2.762,23.38,14.576,9.8056,19.346,3.06,256,False,0,0,0,0.0005712446,False,False,0,8.781e-16,4.989e-16,1.257e-15,0.0,0.0,6.337e-16,0.0,0.0,1.498e-16,8.642e-16,5.864e-16,1.142e-15,1,0.578,0.344,0.568,3.151e-05,0.0003016,0.0002791,0.000638,6
0.01, 2CXO J111201.0-603635, 11 12 01.08,-60 36 35.83,1.0,1.0,0.0,4.67,                TRUE,False,False,False,False,False,False,False,False,3.766e-15,2.794e-15,4.738e-15,3.769e-15,2.535e-15,5.002e-15,1.678e-16,3.052e-17,3.052e-16,6.587e-16,4.117e-16,9.057e-16,0,0.495,0.008,0.026,  ,         ,         ,145.4,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,75,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,3.152,62.17,22.603,16.862,28.343,4.67,261,False,0,0,0,0.0007616596,False,False,0,3.766e-15,2.794e-15,4.738e-15,3.769e-15,2.535e-15,5.002e-15,1.678e-16,3.052e-17,3.052e-16,6.587e-16,4.117e-16,9.057e-16,0,0.495,0.008,0.026,6.3e-05,0.0006382,0.0006133,0.001148,7
0.03, 2CXO J111203.7-603635, 11 12 03.79,-60 36 35.99,1.04,0.81,112.7,4.49,                TRUE,False,False,False,False,False,False,False,False,1.956e-15,1.46e-15,2.453e-15,0.0,0.0,5.7e-16,5.725e-16,2.94e-16,8.51e-16,1.349e-15,9.792e-16,1.697e-15,0,0.404,0.86,0.437,  ,         ,         ,145.3,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,73,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,3.244,67.89,28.075,21.512,34.274,4.49,259,False,0,0,0,0.0009520745,False,False,0,1.956e-15,1.46e-15,2.453e-15,0.0,0.0,5.7e-16,5.725e-16,2.94e-16,8.51e-16,1.349e-15,9.792e-16,1.697e-15,0,0.404,0.86,0.437,4.748e-05,0.0006382,0.0006184,0.001045,8
0.01, 2CXO J111204.8-603707, 11 12 04.81,-60 37 07.29,0.92,0.8,104.9,4.0,                TRUE,False,False,False,False,False,False,False,False,2.036e-15,1.449e-15,2.588e-15,6.776e-16,8.838e-17,1.237e-15,6.317e-16,3.589e-16,8.901e-16,7.457e-16,4.772e-16,1.014e-15,2,0.881,0.997,0.999,  ,         ,         ,145.2,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,69,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,2.81,73.87,23.277,17.365,29.189,4.0,256,False,0,0,0,0.0009520744,False,False,0,2.036e-15,1.449e-15,2.588e-15,6.776e-16,8.838e-17,1.237e-15,6.317e-16,3.589e-16,8.901e-16,7.457e-16,4.772e-16,1.014e-15,2,0.881,0.997,0.999,0.0001996,0.0005185,0.000362,0.001429,9
0.02, 2CXO J111158.5-603545, 11 11 58.57,-60 35 45.45,0.87,0.8,103.1,7.17,                TRUE,False,False,False,False,False,False, TRUE,False,7.578e-15,6.44e-15,8.716e-15,3.496e-15,1.976e-15,4.939e-15,2.711e-15,2.119e-15,3.272e-15,2.413e-15,1.925e-15,2.901e-15,0,0.447,0.792,0.971,  ,         ,         ,145.6,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,78,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,3.926,54.87,76.381,65.688,87.073,7.17,7,False,0,0,0,0.001777206,False,False,4,7.578e-15,6.44e-15,8.716e-15,3.496e-15,1.976e-15,4.939e-15,2.711e-15,2.119e-15,3.272e-15,2.413e-15,1.925e-15,2.901e-15,0,0.447,0.792,0.971,0.0001886,0.00154,0.001413,0.002718,10
0.0, 2CXO J111203.4-603615, 11 12 03.46,-60 36 15.49,0.89,0.76,103.5,4.38,                TRUE,False,False,False,False,False,False,False,False,2.88e-15,2.171e-15,3.545e-15,8.568e-16,2.056e-16,1.508e-15,9.276e-16,5.797e-16,1.256e-15,1.127e-15,7.888e-16,1.446e-15,0,0.377,0.119,0.045,  ,         ,         ,145.4,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,77,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,3.556,65.44,32.038,25.172,38.903,4.38,257,False,0,0,0,0.0008251312,False,False,0,2.88e-15,2.171e-15,3.545e-15,8.568e-16,2.056e-16,1.508e-15,9.276e-16,5.797e-16,1.256e-15,1.127e-15,7.888e-16,1.446e-15,0,0.377,0.119,0.045,4.276e-05,0.0006382,0.0006222,0.001016,11
0.0, 2CXO J111157.9-603530, 11 11 57.98,-60 35 30.32,1.4,1.02,109.3,3.52,                TRUE,False,False,False,False,False,False,False,False,1.941e-15,1.282e-15,2.564e-15,0.0,0.0,9.929e-16,7.065e-16,4.082e-16,1.005e-15,7.089e-16,4.374e-16,9.805e-16,0,0.37,0.099,0.224,  ,         ,         ,145.7,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,80,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,4.169,53.48,20.154,14.443,25.528,3.52,7,False,0,0,0,0.0005712446,False,False,0,1.941e-15,1.282e-15,2.564e-15,0.0,0.0,9.929e-16,7.065e-16,4.082e-16,1.005e-15,7.089e-16,4.374e-16,9.805e-16,0,0.37,0.099,0.224,2.885e-05,0.0004806,0.000463,0.0007206,12
0.02, 2CXO J111139.6-603639, 11 11 39.65,-60 36 39.39,1.03,0.81,88.6,3.87,                TRUE,False,False,False,False,False,False,False,False,1.376e-15,9.087e-16,1.817e-15,0.0,0.0,4.843e-16,6.514e-16,3.636e-16,9.392e-16,9.941e-16,6.856e-16,1.303e-15,0,0.479,0.791,0.312,  ,         ,         ,145.7,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,2782,72,1, 11 11 54.94,-60 39 39.47,2002-04-08T02:45:39,2002-04-08T16:41:24,ACIS,NONE,    VFAINT,3.539,16.33,23.599,17.7,29.499,3.87,1,False,0,0,0,0.0008886028,False,False,0,1.376e-15,9.087e-16,1.817e-15,0.0,0.0,4.843e-16,6.514e-16,3.636e-16,9.392e-16,9.941e-16,6.856e-16,1.303e-15,0,0.479,0.791,0.312,3.431e-05,0.0004587,0.0004468,0.0008248,13
